zfish_id,human_symbol,human_ensg,gene_name
ENSDARG00000028379,TRUB2,ENSDARG00000028379,trub2
ENSDARG00000063062,UBN2,ENSDARG00000063062,ubn2a
ENSDARG00000062148,SENP7,ENSDARG00000062148,SENP7
ENSDARG00000033367,RRM2B,ENSDARG00000033367,rrm2b
ENSDARG00000051970,SMU1,ENSDARG00000051970,smu1b
ENSDARG00000058593,SRI,ENSDARG00000058593,sri
ENSDARG00000029830,MYF6,ENSDARG00000029830,myf6
ENSDARG00000102960,VPS54,ENSDARG00000102960,vps54
ENSDARG00000036100,EYA3,ENSDARG00000036100,eya3
ENSDARG00000020944,EZR,ENSDARG00000020944,ezra
ENSDARG00000074490,GOLM2,ENSDARG00000074490,casc4
ENSDARG00000056679,MORC4,ENSDARG00000056679,morc3a
ENSDARG00000056679,MORC3,ENSDARG00000056679,morc3a
ENSDARG00000034852,NT5DC4,ENSDARG00000034852,nt5c2l1
ENSDARG00000101018,PTDSS2,ENSDARG00000101018,ptdss2
ENSDARG00000006253,MIER3,ENSDARG00000006253,mier3a
ENSDARG00000003927,CLDN12,ENSDARG00000003927,cldn12
ENSDARG00000011958,CTNNBL1,ENSDARG00000011958,ctnnbl1
ENSDARG00000099385,LSP1,ENSDARG00000099385,si_ch211-223l2.4
ENSDARG00000070399,ALG2,ENSDARG00000070399,alg2
ENSDARG00000001313,PHF7,ENSDARG00000001313,g2e3
ENSDARG00000052978,MBNL1,ENSDARG00000052978,mbnl1
ENSDARG00000028106,GLRX,ENSDARG00000028106,glrx
ENSDARG00000036147,ANO5,ENSDARG00000036147,ano5b
ENSDARG00000006712,WIPF2,ENSDARG00000006712,wipf2b
ENSDARG00000014704,PGM2L1,ENSDARG00000014704,pgm2l1
ENSDARG00000002994,ITPKC,ENSDARG00000002994,itpkca
ENSDARG00000075569,GPBP1L1,ENSDARG00000075569,gpbp1l1
ENSDARG00000014536,PFDN1,ENSDARG00000014536,pfdn1
ENSDARG00000033973,MRPS23,ENSDARG00000033973,mrps23
ENSDARG00000106873,SYNPO,ENSDARG00000106873,LO018188.1
ENSDARG00000104831,CEP192,ENSDARG00000104831,cep192
ENSDARG00000037855,TAF11,ENSDARG00000037855,taf11
ENSDARG00000037855,TAF11L12,ENSDARG00000037855,taf11
ENSDARG00000037855,LINC02218,ENSDARG00000037855,taf11
ENSDARG00000037855,TAF11L14,ENSDARG00000037855,taf11
ENSDARG00000037855,TAF11L11,ENSDARG00000037855,taf11
ENSDARG00000037855,TAF11L13,ENSDARG00000037855,taf11
ENSDARG00000037855,TAF11L8,ENSDARG00000037855,taf11
ENSDARG00000037855,TAF11L9,ENSDARG00000037855,taf11
ENSDARG00000037855,TAF11L6,ENSDARG00000037855,taf11
ENSDARG00000037855,TAF11L5,ENSDARG00000037855,taf11
ENSDARG00000037855,TAF11L4,ENSDARG00000037855,taf11
ENSDARG00000037855,TAF11L10,ENSDARG00000037855,taf11
ENSDARG00000037855,TAF11L2,ENSDARG00000037855,taf11
ENSDARG00000037855,TAF11L3,ENSDARG00000037855,taf11
ENSDARG00000037855,TAF11L7,ENSDARG00000037855,taf11
ENSDARG00000078401,LARP4,ENSDARG00000078401,larp4aa
ENSDARG00000030665,TCERG1,ENSDARG00000030665,CU929230.1
ENSDARG00000068732,SPRY4,ENSDARG00000068732,spry4
ENSDARG00000036158,NUDCD1,ENSDARG00000036158,nudcd1
ENSDARG00000010279,SCAMP2,ENSDARG00000010279,scamp2
ENSDARG00000018529,LIPA,ENSDARG00000018529,lipf
ENSDARG00000055477,PELO,ENSDARG00000055477,pelo
ENSDARG00000018765,PKNOX1,ENSDARG00000018765,pknox1.1
ENSDARG00000017427,PHF20L1,ENSDARG00000017427,phf20l1
ENSDARG00000015707,DVL3,ENSDARG00000015707,dvl3a
ENSDARG00000079329,COP1,ENSDARG00000079329,cop1
ENSDARG00000070688,NCALD,ENSDARG00000070688,ncalda
ENSDARG00000104172,DIABLO,ENSDARG00000104172,diabloa
ENSDARG00000041720,ARPC5L,ENSDARG00000041720,arpc5la
ENSDARG00000074121,DNMBP,ENSDARG00000074121,dnmbp
ENSDARG00000077404,NCOA3,ENSDARG00000077404,ncoa3
ENSDARG00000070433,VPS18,ENSDARG00000070433,vps18
ENSDARG00000018574,SF3B4,ENSDARG00000018574,sf3b4
ENSDARG00000038576,UBE2D1,ENSDARG00000038576,ube2d1b
ENSDARG00000033175,SNRPE,ENSDARG00000033175,snrpe
ENSDARG00000055966,CFLAR,ENSDARG00000055966,cflara
ENSDARG00000061505,MRPS9,ENSDARG00000061505,mrps9
ENSDARG00000011764,INTS13,ENSDARG00000011764,ints13
ENSDARG00000024717,SELENBP1,ENSDARG00000024717,selenbp1
ENSDARG00000069706,PRMT6,ENSDARG00000069706,prmt6
ENSDARG00000052866,HTT,ENSDARG00000052866,htt
ENSDARG00000032010,SLC15A2,ENSDARG00000032010,slc15a2
ENSDARG00000035398,ENC1,ENSDARG00000035398,enc1
ENSDARG00000063021,RPAIN,ENSDARG00000063021,rpain
ENSDARG00000098273,ZBTB14,ENSDARG00000098273,zbtb14
ENSDARG00000056228,PLD1,ENSDARG00000056228,pld1a
ENSDARG00000103190,PSMD2,ENSDARG00000103190,psmd2
ENSDARG00000039915,BOLA1,ENSDARG00000039915,bola1
ENSDARG00000014439,DGKZ,ENSDARG00000014439,dgkza
ENSDARG00000003058,CEP43,ENSDARG00000003058,fgfr1op
ENSDARG00000077012,EIF4E,ENSDARG00000077012,eif4ea
ENSDARG00000030125,SOX7,ENSDARG00000030125,sox7
ENSDARG00000007315,TMPO,ENSDARG00000007315,tmpoa
ENSDARG00000029353,SERPINE2,ENSDARG00000029353,serpine2
ENSDARG00000098311,ZNF275,ENSDARG00000098311,si_zfos-932h1.3
ENSDARG00000098311,ZNF32,ENSDARG00000098311,si_zfos-932h1.3
ENSDARG00000100372,ALAD,ENSDARG00000100372,alad
ENSDARG00000091124,RPS19BP1,ENSDARG00000091124,rps19bp1
ENSDARG00000020647,TRPC4AP,ENSDARG00000020647,trpc4apb
ENSDARG00000017617,ALG6,ENSDARG00000017617,alg6
ENSDARG00000021112,C1D,ENSDARG00000021112,c1d
ENSDARG00000033285,GSTO1,ENSDARG00000033285,gsto2
ENSDARG00000103337,RRP1B,ENSDARG00000103337,rrp1
ENSDARG00000103337,RRP1,ENSDARG00000103337,rrp1
ENSDARG00000001129,DICER1,ENSDARG00000001129,dicer1
ENSDARG00000105195,DNAJC21,ENSDARG00000105195,dnajc21
ENSDARG00000038585,EIF4E2,ENSDARG00000038585,eif4e2
ENSDARG00000094204,ELP1,ENSDARG00000094204,elp1
ENSDARG00000006192,GATAD2A,ENSDARG00000006192,gatad2ab
ENSDARG00000087962,RPAP3,ENSDARG00000087962,rpap3
ENSDARG00000030824,ESYT2,ENSDARG00000030824,esyt2a
ENSDARG00000026834,CDR2L,ENSDARG00000026834,cdr2l
ENSDARG00000059950,PLXDC2,ENSDARG00000059950,plxdc2
ENSDARG00000104530,ZNF609,ENSDARG00000104530,znf609b
ENSDARG00000069461,RNASEK,ENSDARG00000069461,rnaseka
ENSDARG00000075437,SHC1,ENSDARG00000075437,shc1
ENSDARG00000073724,NLRX1,ENSDARG00000073724,nlrx1
ENSDARG00000023396,ATG5,ENSDARG00000023396,atg5
ENSDARG00000033418,GPATCH1,ENSDARG00000033418,gpatch1
ENSDARG00000053992,SFI1,ENSDARG00000053992,sfi1
ENSDARG00000062025,CPOX,ENSDARG00000062025,cpox
ENSDARG00000088560,TMEM104,ENSDARG00000088560,tmem104
ENSDARG00000037773,RYBP,ENSDARG00000037773,rybpa
ENSDARG00000099642,DCUN1D1,ENSDARG00000099642,dcun1d1
ENSDARG00000053864,MIDEAS,ENSDARG00000053864,elmsan1b
ENSDARG00000056267,DIXDC1,ENSDARG00000056267,dixdc1b
ENSDARG00000037909,TIMM29,ENSDARG00000037909,timm29
ENSDARG00000070832,SNRK,ENSDARG00000070832,snrka
ENSDARG00000019842,CNOT3,ENSDARG00000019842,cnot3b
ENSDARG00000011418,SIGMAR1,ENSDARG00000011418,sigmar1
ENSDARG00000075045,PPBP,ENSDARG00000075045,cxcl18b
ENSDARG00000067838,RIOX1,ENSDARG00000067838,riox1
ENSDARG00000044402,NOP16,ENSDARG00000044402,nop16
ENSDARG00000102274,AAAS,ENSDARG00000102274,aaas
ENSDARG00000058346,SASS6,ENSDARG00000058346,sass6
ENSDARG00000037852,MGAT4D,ENSDARG00000037852,zgc_101663
ENSDARG00000006921,LRP5,ENSDARG00000006921,lrp5
ENSDARG00000062267,KDM3B,ENSDARG00000062267,kdm3b
ENSDARG00000058494,DNAJA3,ENSDARG00000058494,dnaja3a
ENSDARG00000068698,PSENEN,ENSDARG00000068698,psenen
ENSDARG00000020984,SLC16A10,ENSDARG00000020984,slc16a10
ENSDARG00000038429,CSRNP1,ENSDARG00000038429,csrnp1b
ENSDARG00000015611,RASL11B,ENSDARG00000015611,rasl11b
ENSDARG00000044011,XKR3,ENSDARG00000044011,xkrx
ENSDARG00000044011,XKRX,ENSDARG00000044011,xkrx
ENSDARG00000016307,MRPL46,ENSDARG00000016307,mrpl46
ENSDARG00000045428,MCEE,ENSDARG00000045428,mcee
ENSDARG00000033738,MYL6,ENSDARG00000033738,zgc_153867
ENSDARG00000033738,MYL6B,ENSDARG00000033738,zgc_153867
ENSDARG00000115222,MARF1,ENSDARG00000115222,MARF1
ENSDARG00000059809,CASK,ENSDARG00000059809,caska
ENSDARG00000060120,GLYCTK,ENSDARG00000060120,glyctk
ENSDARG00000010752,ACSL4,ENSDARG00000010752,acsl4b
ENSDARG00000013317,PYGM,ENSDARG00000013317,pygmb
ENSDARG00000019299,ZNF687,ENSDARG00000019299,znf687b
ENSDARG00000034368,HEXB,ENSDARG00000034368,hexb
ENSDARG00000059308,GOLT1B,ENSDARG00000059308,golt1bb
ENSDARG00000035571,ABHD17B,ENSDARG00000035571,abhd17b
ENSDARG00000004870,PSEN1,ENSDARG00000004870,psen1
ENSDARG00000003789,DENND5B,ENSDARG00000003789,dennd5b
ENSDARG00000071699,IDS,ENSDARG00000071699,ids
ENSDARG00000105123,ZER1,ENSDARG00000105123,zer1
ENSDARG00000001857,AFF4,ENSDARG00000001857,aff4
ENSDARG00000100508,UBN2,ENSDARG00000100508,ubn2b
ENSDARG00000077607,DUS2,ENSDARG00000077607,dus2
ENSDARG00000059234,MRPS27,ENSDARG00000059234,mrps27
ENSDARG00000089698,ATF7IP2,ENSDARG00000089698,atf7ip2
ENSDARG00000099776,GLUL,ENSDARG00000099776,glula
ENSDARG00000061372,COG7,ENSDARG00000061372,cog7
ENSDARG00000053155,ALG3,ENSDARG00000053155,alg3
ENSDARG00000039430,MSL2,ENSDARG00000039430,msl2b
ENSDARG00000017242,GAREM1,ENSDARG00000017242,garem
ENSDARG00000104924,MYOZ3,ENSDARG00000104924,BX072577.1
ENSDARG00000018241,MFAP1,ENSDARG00000018241,mfap1
ENSDARG00000103774,LIMCH1,ENSDARG00000103774,limch1b
ENSDARG00000039850,DUSP22,ENSDARG00000039850,dusp22b
ENSDARG00000103957,AAMDC,ENSDARG00000103957,aamdc
ENSDARG00000056985,TPTE2,ENSDARG00000056985,tpte
ENSDARG00000056985,TPTE,ENSDARG00000056985,tpte
ENSDARG00000008573,FAM20B,ENSDARG00000008573,fam20b
ENSDARG00000074807,TBRG4,ENSDARG00000074807,tbrg4
ENSDARG00000018953,GCLM,ENSDARG00000018953,gclm
ENSDARG00000102772,KLHDC3,ENSDARG00000102772,klhdc3
ENSDARG00000017140,SEPTIN14,ENSDARG00000017140,zgc_63587
ENSDARG00000034178,CPSF1,ENSDARG00000034178,cpsf1
ENSDARG00000074084,STRIP1,ENSDARG00000074084,strip1
ENSDARG00000045976,SIDT2,ENSDARG00000045976,sidt2
ENSDARG00000023495,IFT74,ENSDARG00000023495,ift74
ENSDARG00000017673,NOVA1,ENSDARG00000017673,nova2
ENSDARG00000018061,NEIL1,ENSDARG00000018061,neil1
ENSDARG00000091187,UIMC1,ENSDARG00000091187,BX649250.1
ENSDARG00000041602,MMADHC,ENSDARG00000041602,zgc_92335
ENSDARG00000103893,SRSF2,ENSDARG00000103893,srsf2b
ENSDARG00000103893,SRSF8,ENSDARG00000103893,srsf2b
ENSDARG00000070029,EHHADH,ENSDARG00000070029,ehhadh
ENSDARG00000014386,GALNTL5,ENSDARG00000014386,galnt6
ENSDARG00000006603,CSRP1,ENSDARG00000006603,csrp1a
ENSDARG00000014137,PICALM,ENSDARG00000014137,picalmb
ENSDARG00000004037,COG2,ENSDARG00000004037,cog2
ENSDARG00000002330,LHX8,ENSDARG00000002330,lhx8a
ENSDARG00000070448,GRK4,ENSDARG00000070448,grk4
ENSDARG00000103606,NDST1,ENSDARG00000103606,ndst1b
ENSDARG00000088950,SYCP2,ENSDARG00000088950,sycp2
ENSDARG00000059212,CIAO1,ENSDARG00000059212,ciao1
ENSDARG00000001634,KIRREL1,ENSDARG00000001634,kirrel1a
ENSDARG00000026224,FANCI,ENSDARG00000026224,fanci
ENSDARG00000056621,CTCF,ENSDARG00000056621,ctcf
ENSDARG00000009629,UNC119B,ENSDARG00000009629,unc119.1
ENSDARG00000023237,SYNE3,ENSDARG00000023237,syne3
ENSDARG00000100440,FASTKD3,ENSDARG00000100440,fastkd3
ENSDARG00000075650,VPS26C,ENSDARG00000075650,vps26c
ENSDARG00000055857,DOP1B,ENSDARG00000055857,dop1b
ENSDARG00000052099,AGXT,ENSDARG00000052099,agxta
ENSDARG00000102353,DDX47,ENSDARG00000102353,ddx47
ENSDARG00000035167,MRPL48,ENSDARG00000035167,mrpl48
ENSDARG00000051768,FHOD1,ENSDARG00000051768,fhod1
ENSDARG00000055760,SRM,ENSDARG00000055760,srm
ENSDARG00000020077,NOL10,ENSDARG00000020077,nol10
ENSDARG00000009480,PDCL,ENSDARG00000009480,pdcl
ENSDARG00000103878,ANPEP,ENSDARG00000103878,anpepb
ENSDARG00000046002,NECAP2,ENSDARG00000046002,necap2
ENSDARG00000006840,GNMT,ENSDARG00000006840,gnmt
ENSDARG00000007092,XAB2,ENSDARG00000007092,xab2
ENSDARG00000004866,MINDY1,ENSDARG00000004866,mindy1
ENSDARG00000044001,LGALS14,ENSDARG00000044001,lgals3b
ENSDARG00000044001,LGALS1,ENSDARG00000044001,lgals3b
ENSDARG00000044001,LGALS13,ENSDARG00000044001,lgals3b
ENSDARG00000044001,CLC,ENSDARG00000044001,lgals3b
ENSDARG00000044001,LGALS12,ENSDARG00000044001,lgals3b
ENSDARG00000044001,LGALS9,ENSDARG00000044001,lgals3b
ENSDARG00000044001,LGALS9B,ENSDARG00000044001,lgals3b
ENSDARG00000044001,LGALS9C,ENSDARG00000044001,lgals3b
ENSDARG00000044001,LGALS7B,ENSDARG00000044001,lgals3b
ENSDARG00000044001,LGALS7,ENSDARG00000044001,lgals3b
ENSDARG00000044001,LGALS16,ENSDARG00000044001,lgals3b
ENSDARG00000061335,GALNT1,ENSDARG00000061335,galnt1
ENSDARG00000019969,SMARCD3,ENSDARG00000019969,smarcd3b
ENSDARG00000020948,GMCL1,ENSDARG00000020948,gmcl1
ENSDARG00000020948,GMCL2,ENSDARG00000020948,gmcl1
ENSDARG00000099746,RGS3,ENSDARG00000099746,rgs3a
ENSDARG00000027547,TPGS1,ENSDARG00000027547,TPGS1
ENSDARG00000035987,PSMG2,ENSDARG00000035987,psmg2
ENSDARG00000100867,RICTOR,ENSDARG00000100867,rictora
ENSDARG00000025074,SLC25A10,ENSDARG00000025074,slc25a10
ENSDARG00000069116,TIMM10,ENSDARG00000069116,timm10
ENSDARG00000062152,CHAF1A,ENSDARG00000062152,chaf1a
ENSDARG00000020876,PDK2,ENSDARG00000020876,pdk2a
ENSDARG00000016765,SCAMP3,ENSDARG00000016765,scamp3
ENSDARG00000007444,IFT81,ENSDARG00000007444,ift81
ENSDARG00000009299,DUSP8,ENSDARG00000009299,dusp8a
ENSDARG00000031261,SAP30BP,ENSDARG00000031261,sap30bp
ENSDARG00000053215,ME1,ENSDARG00000053215,me1
ENSDARG00000070914,DUSP6,ENSDARG00000070914,dusp6
ENSDARG00000005220,PDCD6,ENSDARG00000005220,pdcd6
ENSDARG00000075560,KMT2C,ENSDARG00000075560,kmt2cb
ENSDARG00000026762,HYCC1,ENSDARG00000026762,fam126a
ENSDARG00000019874,HSPH1,ENSDARG00000019874,hsph1
ENSDARG00000063446,IBA57,ENSDARG00000063446,iba57
ENSDARG00000099651,BIN3,ENSDARG00000099651,bin3
ENSDARG00000062362,TPCN1,ENSDARG00000062362,tpcn1
ENSDARG00000114245,PLBD2,ENSDARG00000114245,PLBD2
ENSDARG00000000540,ASNSD1,ENSDARG00000000540,asdurf
ENSDARG00000062594,COQ7,ENSDARG00000062594,coq7
ENSDARG00000017874,DNAJC5G,ENSDARG00000017874,dnajc3b
ENSDARG00000075369,NCK1,ENSDARG00000075369,nck1b
ENSDARG00000074471,VPS39,ENSDARG00000074471,vps39
ENSDARG00000076360,COA1,ENSDARG00000076360,rpl37
ENSDARG00000018432,M6PR,ENSDARG00000018432,m6pr
ENSDARG00000054789,LYSMD1,ENSDARG00000054789,lysmd1
ENSDARG00000099362,ANO1,ENSDARG00000099362,CABZ01088346.1
ENSDARG00000068759,CDCA2,ENSDARG00000068759,si_ch211-244o22.2
ENSDARG00000055054,BCL9L,ENSDARG00000055054,bcl9l
ENSDARG00000032737,GRIA3,ENSDARG00000032737,gria3a
ENSDARG00000103610,ACTR8,ENSDARG00000103610,actr8
ENSDARG00000075793,PREX1,ENSDARG00000075793,prex1
ENSDARG00000039136,COX16,ENSDARG00000039136,cox16
ENSDARG00000074502,ZMIZ1,ENSDARG00000074502,zmiz1a
ENSDARG00000039335,ST6GAL2,ENSDARG00000039335,st6gal2a
ENSDARG00000038428,SULF1,ENSDARG00000038428,sulf1
ENSDARG00000012790,TMEM161A,ENSDARG00000012790,tmem161a
ENSDARG00000058806,NAXE,ENSDARG00000058806,naxe
ENSDARG00000002402,ERCC3,ENSDARG00000002402,ercc3
ENSDARG00000074356,FXN,ENSDARG00000074356,fxn
ENSDARG00000101680,ARL1,ENSDARG00000101680,arl1
ENSDARG00000021899,B4GALT7,ENSDARG00000021899,b4galt7
ENSDARG00000024112,GMPPA,ENSDARG00000024112,gmppaa
ENSDARG00000038308,YKT6,ENSDARG00000038308,ykt6
ENSDARG00000105046,CCNF,ENSDARG00000105046,ccnf
ENSDARG00000087330,MAZ,ENSDARG00000087330,maza
ENSDARG00000016160,GMPR,ENSDARG00000016160,gmpr
ENSDARG00000101791,KYAT3,ENSDARG00000101791,kyat3
ENSDARG00000003749,POLB,ENSDARG00000003749,polb
ENSDARG00000057986,INTS8,ENSDARG00000057986,ints8
ENSDARG00000033170,SULT2A1,ENSDARG00000033170,sult2st1
ENSDARG00000033170,SULT1E1,ENSDARG00000033170,sult2st1
ENSDARG00000033170,SULT1A1,ENSDARG00000033170,sult2st1
ENSDARG00000033170,SULT1A2,ENSDARG00000033170,sult2st1
ENSDARG00000033170,SULT1A4,ENSDARG00000033170,sult2st1
ENSDARG00000033170,SULT1A3,ENSDARG00000033170,sult2st1
ENSDARG00000087528,SLC4A1AP,ENSDARG00000087528,snip1
ENSDARG00000104049,CREBL2,ENSDARG00000104049,crebl2
ENSDARG00000005525,ACY3,ENSDARG00000005525,acy3.2
ENSDARG00000016122,PTRHD1,ENSDARG00000016122,ptrhd1
ENSDARG00000077431,USF3,ENSDARG00000077431,usf3
ENSDARG00000044143,NOL8,ENSDARG00000044143,nol8
ENSDARG00000036587,CBR1,ENSDARG00000036587,cbr1
ENSDARG00000089888,DAGLB,ENSDARG00000089888,daglb
ENSDARG00000105214,AGTPBP1,ENSDARG00000105214,agtpbp1
ENSDARG00000042520,UTP14A,ENSDARG00000042520,UTP14C
ENSDARG00000042520,UTP14C,ENSDARG00000042520,UTP14C
ENSDARG00000028336,DHDH,ENSDARG00000028336,dhdhl
ENSDARG00000091768,DCLRE1A,ENSDARG00000091768,dclre1a
ENSDARG00000013613,ANXA13,ENSDARG00000013613,anxa13l
ENSDARG00000013613,ANXA9,ENSDARG00000013613,anxa13l
ENSDARG00000013613,ANXA8L1,ENSDARG00000013613,anxa13l
ENSDARG00000013613,ANXA8,ENSDARG00000013613,anxa13l
ENSDARG00000087333,SCOC,ENSDARG00000087333,scoca
ENSDARG00000101260,GPATCH2,ENSDARG00000101260,GPATCH2
ENSDARG00000110291,SVIL,ENSDARG00000110291,CABZ01044731.1
ENSDARG00000070127,NFXL1,ENSDARG00000070127,nfxl1
ENSDARG00000093176,PPT2,ENSDARG00000093176,zgc_77118
ENSDARG00000035634,RFC5,ENSDARG00000035634,rfc5
ENSDARG00000089505,BOD1L1,ENSDARG00000089505,bod1l1
ENSDARG00000053196,MTOR,ENSDARG00000053196,mtor
ENSDARG00000069342,KLF16,ENSDARG00000069342,zgc_153115
ENSDARG00000069342,KLF17,ENSDARG00000069342,zgc_153115
ENSDARG00000069342,KLF14,ENSDARG00000069342,zgc_153115
ENSDARG00000069342,KLF18,ENSDARG00000069342,zgc_153115
ENSDARG00000012625,PRKAG2,ENSDARG00000012625,prkag2a
ENSDARG00000075380,KRI1,ENSDARG00000075380,kri1
ENSDARG00000039601,IER3IP1,ENSDARG00000039601,ier3ip1
ENSDARG00000053466,TIMMDC1,ENSDARG00000053466,timmdc1
ENSDARG00000010432,EAF2,ENSDARG00000010432,eaf2
ENSDARG00000062382,SNAPIN,ENSDARG00000062382,snapin
ENSDARG00000014274,RFC2,ENSDARG00000014274,rfc2
ENSDARG00000038422,ENTPD4,ENSDARG00000038422,entpd4
ENSDARG00000058053,SERPING1,ENSDARG00000058053,serping1
ENSDARG00000078352,LYRM4,ENSDARG00000078352,lyrm4
ENSDARG00000051916,CDK7,ENSDARG00000051916,cdk7
ENSDARG00000079020,GCFC2,ENSDARG00000079020,gcfc2
ENSDARG00000099465,RNF213,ENSDARG00000099465,rnf213a
ENSDARG00000099566,LMBRD2,ENSDARG00000099566,lmbrd2a
ENSDARG00000036541,RHBDF1,ENSDARG00000036541,rhbdf1a
ENSDARG00000020328,PLEKHA6,ENSDARG00000020328,plekha6
ENSDARG00000038618,CPT2,ENSDARG00000038618,cpt2
ENSDARG00000038312,RCL1,ENSDARG00000038312,rcl1
ENSDARG00000099743,THAP6,ENSDARG00000099743,zgc_113019
ENSDARG00000053652,NDUFAF6,ENSDARG00000053652,ndufaf6
ENSDARG00000101431,GAS8,ENSDARG00000101431,gas8
ENSDARG00000052000,CAV2,ENSDARG00000052000,cav2
ENSDARG00000101441,LIMA1,ENSDARG00000101441,lima1a
ENSDARG00000052109,SLC16A11,ENSDARG00000052109,zgc_114041
ENSDARG00000075331,GOLGA4,ENSDARG00000075331,golga4
ENSDARG00000112667,TP53RK,ENSDARG00000112667,tp53rk
ENSDARG00000025977,BLMH,ENSDARG00000025977,blmh
ENSDARG00000061066,C2CD2L,ENSDARG00000061066,c2cd2l
ENSDARG00000015901,PTBP2,ENSDARG00000015901,ptbp2b
ENSDARG00000060929,RNF220,ENSDARG00000060929,rnf220a
ENSDARG00000078172,PTGFRN,ENSDARG00000078172,CU984600.1
ENSDARG00000055036,ITIH3,ENSDARG00000055036,itih3a
ENSDARG00000021242,MVP,ENSDARG00000021242,mvp
ENSDARG00000045230,COX6B2,ENSDARG00000045230,cox6b1
ENSDARG00000060618,IPO13,ENSDARG00000060618,ipo13
ENSDARG00000035781,CTDNEP1,ENSDARG00000035781,ctdnep1b
ENSDARG00000078703,ASPH,ENSDARG00000078703,unm_hu7910
ENSDARG00000042989,ZBTB45,ENSDARG00000042989,si_dkeyp-84f3.5
ENSDARG00000055493,HIC1,ENSDARG00000055493,hic1
ENSDARG00000031108,LRBA,ENSDARG00000031108,lrba
ENSDARG00000088619,REXO4,ENSDARG00000088619,rexo4
ENSDARG00000019897,GPAT4,ENSDARG00000019897,gpat4
ENSDARG00000078929,ABHD16A,ENSDARG00000078929,abhd16a
ENSDARG00000013845,TTC14,ENSDARG00000013845,ttc14
ENSDARG00000039543,MRPS6,ENSDARG00000039543,mrps6
ENSDARG00000045298,WIPF2,ENSDARG00000045298,wipf2a
ENSDARG00000101877,RBM34,ENSDARG00000101877,rbm34
ENSDARG00000063310,OXR1,ENSDARG00000063310,oxr1b
ENSDARG00000012039,IFT56,ENSDARG00000012039,ttc26
ENSDARG00000016457,IRF9,ENSDARG00000016457,irf9
ENSDARG00000040620,PSMG1,ENSDARG00000040620,psmg1
ENSDARG00000004405,SNX10,ENSDARG00000004405,snx10a
ENSDARG00000013079,TUBGCP2,ENSDARG00000013079,tubgcp2
ENSDARG00000027112,EPHB4,ENSDARG00000027112,ephb4b
ENSDARG00000089428,RAB12,ENSDARG00000089428,rab12
ENSDARG00000099306,FBXO2,ENSDARG00000099306,zgc_175088
ENSDARG00000013582,CSNK2A2,ENSDARG00000013582,csnk2a2b
ENSDARG00000101535,COL10A1,ENSDARG00000101535,col10a1b
ENSDARG00000063187,AGPAT5,ENSDARG00000063187,agpat5
ENSDARG00000044980,KPNA6,ENSDARG00000044980,kpna6
ENSDARG00000057772,MARCHF7,ENSDARG00000057772,march7
ENSDARG00000071062,HPS5,ENSDARG00000071062,hps5
ENSDARG00000037153,ATP6AP1,ENSDARG00000037153,atp6ap1b
ENSDARG00000098507,LYAR,ENSDARG00000098507,lyar
ENSDARG00000037188,RPA2,ENSDARG00000037188,rpa2
ENSDARG00000079257,GEMIN5,ENSDARG00000079257,gemin5
ENSDARG00000036212,TBC1D5,ENSDARG00000036212,tbc1d5
ENSDARG00000040717,MACC1,ENSDARG00000040717,macc1
ENSDARG00000063416,PTPRK,ENSDARG00000063416,ptprk
ENSDARG00000013741,LANCL1,ENSDARG00000013741,lancl1
ENSDARG00000017590,NIT2,ENSDARG00000017590,nit2
ENSDARG00000029581,TBC1D7,ENSDARG00000029581,tbc1d7
ENSDARG00000101256,EIF4G1,ENSDARG00000101256,CABZ01085052.1
ENSDARG00000076509,POLR2D,ENSDARG00000076509,polr2d
ENSDARG00000091418,SNX17,ENSDARG00000091418,snx17
ENSDARG00000102643,CHMP1A,ENSDARG00000102643,chmp1a
ENSDARG00000025703,DMGDH,ENSDARG00000025703,dmgdh
ENSDARG00000063309,TJP2,ENSDARG00000063309,tjp2a
ENSDARG00000014674,ACSL3,ENSDARG00000014674,acsl3b
ENSDARG00000014159,MTDH,ENSDARG00000014159,mtdha
ENSDARG00000014159,MAMSTR,ENSDARG00000014159,mtdha
ENSDARG00000005246,ASB3,ENSDARG00000005246,asb3
ENSDARG00000098599,DMXL1,ENSDARG00000098599,CABZ01072810.1
ENSDARG00000063438,SREBF2,ENSDARG00000063438,srebf2
ENSDARG00000004296,AMBP,ENSDARG00000004296,ambp
ENSDARG00000074915,ETAA1,ENSDARG00000074915,etaa1
ENSDARG00000100854,AGO4,ENSDARG00000100854,ago4
ENSDARG00000106630,AGL,ENSDARG00000106630,LO018627.1
ENSDARG00000003527,MAK16,ENSDARG00000003527,mak16
ENSDARG00000104295,ARHGAP21,ENSDARG00000104295,arhgap21a
ENSDARG00000063167,CHKB,ENSDARG00000063167,chkb
ENSDARG00000086678,ASCC3,ENSDARG00000086678,ascc3
ENSDARG00000061378,SMG8,ENSDARG00000061378,smg8
ENSDARG00000032324,EPB41L5,ENSDARG00000032324,epb41l5
ENSDARG00000057491,N4BP1,ENSDARG00000057491,n4bp1
ENSDARG00000069241,TTC32,ENSDARG00000069241,ttc32
ENSDARG00000074335,BOC,ENSDARG00000074335,boc
ENSDARG00000017211,PLXNB1,ENSDARG00000017211,plxnb1b
ENSDARG00000016375,ASNS,ENSDARG00000016375,asns
ENSDARG00000007720,SUB1,ENSDARG00000007720,sub1b
